id,subdir,filename,expected_doc_class,expected_stage,size_tier,source,license,notes,dataset,expected_fields
contract_msa,contract,sample_msa.txt,contract,archived,small,llm-mailroom src/tests/fixtures/contract/sample_msa.txt,original,Vendored mailroom MSA fixture,sandbox-fixtures,"{""parties"":[""Northwind Logistics Corporation"",""HarborPoint Holdings, Inc.""],""governing_law"":""Delaware""}"
contract_nda,contract,sample_nda.txt,contract,archived,small,llm-mailroom src/tests/fixtures/contract/sample_nda.txt,original,Vendored mailroom NDA fixture,sandbox-fixtures,"{""parties"":[""Northwind Logistics Corporation"",""HarborPoint Holdings, Inc.""]}"
compliance_10k,compliance_filing,sample_10k.txt,compliance_filing,archived,medium,llm-mailroom docs/examples/sources/compliance/10k_excerpt.txt,original,Synthetic 10-K excerpt,sandbox-fixtures,"{""filing_type"":""10-K"",""regulatory_body"":""SEC"",""entity_name"":""Northwind Logistics Corporation""}"
compliance_state,compliance_filing,sample_state_filing.txt,compliance_filing,archived,small,llm-mailroom docs/examples/sources/compliance/state_filing.txt,original,State annual report,sandbox-fixtures,"{""filing_type"":""Annual Report"",""regulatory_body"":""Delaware Secretary of State"",""entity_name"":""HarborPoint Holdings, Inc.""}"
corporate_bylaws,corporate_record,sample_bylaws.txt,corporate_record,archived,medium,llm-mailroom docs/examples/sources/corporate/bylaws.txt,original,Amended and restated bylaws,sandbox-fixtures,"{""entity_name"":""HarborPoint Holdings, Inc."",""record_type"":""Amended and Restated Bylaws"",""jurisdiction"":""Delaware""}"
corporate_resolution,corporate_record,sample_resolution.txt,corporate_record,archived,small,llm-mailroom docs/examples/sources/corporate/resolution.txt,original,Board consent,sandbox-fixtures,"{""entity_name"":""HarborPoint Holdings, Inc."",""record_type"":""Unanimous Written Consent of the Board of Directors""}"
correspondence_demand,correspondence,sample_demand_letter.txt,correspondence,archived,small,llm-mailroom docs/examples/sources/correspondence/demand_letter.txt,original,Demand letter,sandbox-fixtures,"{""communication_type"":""demand letter"",""sender"":""Dana Alvarez""}"
correspondence_memo,correspondence,sample_internal_memo.txt,correspondence,archived,small,llm-mailroom docs/examples/sources/correspondence/internal_memo.txt,original,Internal legal memo,sandbox-fixtures,"{""communication_type"":""internal memo""}"
ambiguous_01,ambiguous,mixed_memo.txt,correspondence,review,small,llm-mailroom docs/examples/sources/ambiguous/mixed_memo.txt,original,Multi-topic memo; expects review routing,sandbox-fixtures,"{""communication_type"":""internal memo""}"
insurance_claim,insurance_claim,sample_claim.txt,insurance_claim,archived,small,llm-mailroom src/tests/fixtures/insurance_claim/sample_claim.txt,original,Vendored insurance claim fixture,sandbox-fixtures,"{}"
merger_agreement,merger_agreement,sample_merger.txt,merger_agreement,archived,small,sandbox data/fixtures/hf/docclass_mini.jsonl hf_merger_01,original,MAUD all-cash merger fixture for dedicated specialist,sandbox-fixtures,"{""merger_consideration"":""all_cash"",""parties"":[""Parent Inc."",""Merger Sub Inc."",""Target Corp.""]}"
